Wave: 9, Split  : 02:18 (+02:18);Wave: 18, Split  : 05:54 (+03:36);Wave: 25, Split  : 09:18 (+03:24);Wave: 35, Split  : 14:43 (+05:25);Wave: 42, Split  : 18:51 (+04:07);Wave: 50, Split  : 24:54 (+06:03);;;;;;;;;0
Wave: 9, Split  : 02:27 (+02:27);Wave: 18, Split  : 05:51 (+03:23);Wave: 25, Split  : 09:03 (+03:12);Wave: 35, Split  : 14:21 (+05:18);Wave: 42, Split  : 18:44 (+04:23);Wave: 50, Split  : 24:37 (+05:53);Wave: 57, Split  : 30:32 (+05:54);Wave: 60, Split  : 33:11 (+02:39);Wave: 63, Split  : 36:22 (+03:11);;;;;;0
Wave: 9, Split  : 03:18 (+03:18);Wave: 18, Split  : 07:49 (+04:31);Wave: 25, Split  : 12:27 (+04:37);Wave: 35, Split  : 19:36 (+07:08);Wave: 42, Split  : 25:46 (+06:10);Wave: 50, Split  : 34:21 (+08:35);Wave: 57, Split  : 43:41 (+09:19);Wave: 60, Split  : 48:37 (+04:55);Wave: 63, Split  : 53:07 (+04:30);Wave: 66, Split  : 57:07 (+04:00);Wave: 67, Split  : 57:52 (+00:45);Wave: 68, Split  : 58:49 (+00:56);Wave: 69, Split  : 62:46 (+03:57);Duration (Success): 69:06;1
Wave: 9, Split  : 02:31 (+02:31);Wave: 18, Split  : 06:00 (+03:28);Wave: 25, Split  : 09:02 (+03:02);Wave: 35, Split  : 14:47 (+05:45);Wave: 42, Split  : 19:01 (+04:13);Wave: 50, Split  : 25:29 (+06:28);Wave: 57, Split  : 31:09 (+05:40);Wave: 60, Split  : 34:07 (+02:57);;;;;;;0
Wave: 9, Split  : 02:28 (+02:28);Wave: 18, Split  : 05:50 (+03:22);Wave: 25, Split  : 09:04 (+03:14);Wave: 35, Split  : 14:41 (+05:36);Wave: 42, Split  : 18:50 (+04:09);Wave: 50, Split  : 25:36 (+06:46);Wave: 57, Split  : 31:43 (+06:06);Wave: 60, Split  : 34:55 (+03:12);;;;;;;0
Wave: 9, Split  : 02:36 (+02:36);Wave: 18, Split  : 06:10 (+03:33);Wave: 25, Split  : 09:43 (+03:33);Wave: 35, Split  : 15:40 (+05:56);Wave: 42, Split  : 19:45 (+04:05);Wave: 50, Split  : 25:31 (+05:46);Wave: 57, Split  : 31:24 (+05:52);Wave: 60, Split  : 34:09 (+02:44);Wave: 63, Split  : 37:39 (+03:30);Wave: 66, Split  : 40:45 (+03:06);Wave: 67, Split  : 41:25 (+00:40);Wave: 68, Split  : 42:34 (+01:08);Wave: 69, Split  : 44:42 (+02:08);;0
